A;B;Phrase
peinture;paysage;peinture d'un paysage
photo;famille;photo d'une famille
carte;monde;carte du monde
plan;ville;plan de la ville
portrait;reine;portrait de la reine
statue;liberté;statue de la liberté
dessin;enfant;dessin d'un enfant
croquis;suspect;croquis du suspect
buste;empereur;buste de l'empereur
image;chat;image du chat
reflet;lune;reflet de la lune
ombre;arbre;ombre de l'arbre
maquette;avion;maquette de l'avion
gravure;mode;gravure de mode
fresque;jugement;fresque du jugement
icône;saint;icône du saint
tableau;fleurs;tableau de fleurs
poster;star;poster de la star
affiche;film;affiche du film
cliché;vacances;cliché des vacances
vue;port;vue du port
panorama;alpes;panorama des alpes
sculpture;athlète;sculpture de l'athlète
figurine;héros;figurine du héros
effigie;monarque;effigie du monarque
moulage;visage;moulage du visage
empreinte;pas;empreinte du pas
trace;pneu;trace de pneu
enregistrement;concert;enregistrement du concert
vidéo;chat;vidéo de chat
film;mariage;film du mariage
copie;document;copie du document
reproduction;tableau;reproduction du tableau
fac-similé;manuscrit;fac-similé du manuscrit
diapositive;voyage;diapositive du voyage
illustration;conte;illustration du conte
schéma;montage;schéma du montage
diagramme;processus;diagramme du processus
graphique;ventes;graphique des ventes
courbe;température;courbe de température
profil;candidat;profil du candidat
silhouette;montagne;silhouette de la montagne
masque;zorro;masque de zorro
déguisement;pirate;déguisement de pirate
costume;clown;costume de clown
marionnette;guignol;marionnette de guignol
poupée;mannequin;poupée de mannequin
avatar;joueur;avatar du joueur
logo;entreprise;logo de l'entreprise
emblème;club;emblème du club
drapeau;pays;drapeau du pays
blason;famille;blason de la famille
insigne;régiment;insigne du régiment
symbole;paix;symbole de la paix
signe;croix;signe de la croix
lettre;alphabet;lettre de l'alphabet
chiffre;nombre;chiffre du nombre
note;musique;note de musique
carte;france;carte de France
planisphère;terre;planisphère de la terre
globe;terrestre;globe terrestre
atlas;géographie;atlas de géographie
radio;poumon;radio du poumon
échographie;bébé;échographie du bébé
scan;cerveau;scan du cerveau
imagerie;satellite;imagerie de satellite
vue;esprit;vue de l'esprit
vision;horreur;vision d'horreur
mirage;oasis;mirage d'oasis
spectre;lumière;spectre de la lumière
maquette;projet;maquette du projet
prototype;voiture;prototype de la voiture
échantillon;tissu;échantillon de tissu
extrait;livre;extrait du livre
résumé;film;résumé du film
bande-annonce;film;bande-annonce du film
sommaire;revue;sommaire de la revue
index;noms;index des noms
légende;photo;légende de la photo
titre;chapitre;titre du chapitre
peinture;paysage;peinture du paysage
toile;maître;toile du maître
aquarelle;marine;aquarelle de la marine
pastel;fleur;pastel de la fleur
huile;portrait;huile du portrait
fusain;nu;fusain du nu
crayon;visage;crayon du visage
encre;paysage;encre du paysge
gouache;enfant;gouache de l'enfant
fresque;mur;fresque du mur
mosaïque;sol;mosaïque du sol
vitrail;saint;vitrail du saint
icône;vierge;icône de la vierge
retable;autel;retable de l'autel
triptyque;jugement;triptyque du jugement
estampe;japonaise;estampe japonaise
gravure;mode;gravure de mode
lithographie;artiste;lithographie de l'artiste
sérigraphie;affiche;sérigraphie de l'affiche
poster;star;poster de la star
affiche;concert;affiche du concert
pancarte;manifestant;pancarte du manifestant
enseigne;magasin;enseigne du magasin
panneau;route;panneau de la route
étiquette;prix;étiquette du prix
autocollant;marque;autocollant de la marque
sticker;logo;sticker du logo
badge;nom;badge du nom
macaron;assurance;macaron de l'assurance
vignette;auto;vignette de l'auto
timbre;poste;timbre de la poste
sceau;cire;sceau de cire
tampon;date;tampon de la date
griffe;couturier;griffe du couturier
signature;auteur;signature de l'auteur
paraphe;notaire;paraphe du notaire
monogramme;roi;monogramme du roi
initiale;prénom;initiale du prénom
lettre;alphabet;lettre de l'alphabet
chiffre;code;chiffre du code
numéro;rue;numéro de la rue
photo;famille;photo de la famille
cliché;vacances;cliché des vacances
instantané;moment;instantané du moment
diapositive;voyage;diapositive du voyage
négatif;film;négatif du film
tirage;papier;tirage papier
agrandissement;détail;agrandissement du détail
zoom;visage;zoom sur le visage
plan;large;plan large
cadrage;scène;cadrage de la scène
selfie;touriste;selfie du touriste
portrait;officiel;portrait officiel
photo;identité;photo d'identité
mugshot;suspect;mugshot du suspect
radiographie;os;radiographie de l'os
échographie;fœtus;échographie du fœtus
irm;cerveau;irm du cerveau
scan;corps;scan du corps
scanner;bagage;scanner du bagage
mammographie;sein;mammographie du sein
panoramique;dent;panoramique des dents
empreinte;digitale;empreinte digitale
trace;pas;trace de pas
sillage;navire;sillage du navire
traînée;avion;traînée de l'avion
ombre;arbre;ombre de l'arbre
silouhette;passant;silhouette du passant
profil;ombre;profil de l'ombre
contour;forme;contour de la forme
reflet;miroir;reflet du miroir
image;eau;image dans l'eau
écho;voix;écho de la voix
résonance;son;résonance du son
enregistrement;débat;enregistrement du débat
bande;son;bande son
disque;chanteur;disque du chanteur
cassette;audio;cassette audio
cd;album;cd de l'album
vinyle;tube;vinyle du tube
mp3;morceau;mp3 du morceau
playlist;soirée;playlist de la soirée
vidéo;chat;vidéo de chat
clip;chanson;clip de la chanson
film;vacances;film de vacances
long-métrage;cinéma;long-métrage de cinéma
court-métrage;festival;court-métrage de festival
documentaire;animalier;documentaire animalier
reportage;guerre;reportage de guerre
journal;télévisé;journal télévisé
flash;info;flash info
interview;politique;interview du politique
témoignage;victime;témoignage de la victime
récit;voyage;récit de voyage
histoire;soir;histoire du soir
conte;fées;conte de fées
fable;fontaine;fable de la fontaine
roman;amour;roman d'amour
biographie;star;biographie de la star
autobiographie;auteur;autobiographie de l'auteur
mémoires;général;mémoires du général
journal;intime;journal intime
blog;mode;blog de mode
vlog;youtubeur;vlog du youtubeur
post;facebook;post Facebook
tweet;twitter;tweet Twitter
story;instagram;story Instagram
statut;whatsapp;statut WhatsApp
sms;ami;sms de l'ami
mail;patron;mail du patron
lettre;amour;lettre d'amour
carte;postale;carte postale
faire-part;mariage;faire-part de mariage
invitation;fête;invitation à la fête
menu;restaurant;menu du restaurant
recette;cuisine;recette de cuisine
notice;montage;notice de montage
mode d'emploi;appareil;mode d'emploi de l'appareil
règle;jeu;règle du jeu
loi;code;loi du code
article;constitution;article de la constitution
verset;bible;verset de la bible
sourate;coran;sourate du coran
poème;baudelaire;poème de Baudelaire
chanson;geste;chanson de geste
hymne;national;hymne national
