A;B;Phrase
vin;France;vin de France
café;Brésil;café du Brésil
tapis;Orient;tapis d'Orient
savon;Marseille;savon de Marseille
tulipe;Hollande;tulipe de Hollande
mode;Italie;mode d'Italie
cigare;Havane;cigare de la Havane
parfum;Grasse;parfum de Grasse
soie;Lyon;soie de Lyon
dentelle;Calais;dentelle de Calais
porcelaine;Limoges;porcelaine de Limoges
moutarde;Dijon;moutarde de Dijon
nougat;Montélimar;nougat de Montélimar
bêtise;Cambrai;bêtise de Cambrai
pruneau;Agen;pruneau d'Agen
rillettes;Mans;rillettes du Mans
saucisse;Francfort;saucisse de Francfort
jambon;Parme;jambon de Parme
fromage;Chèvre;fromage de Chèvre
bière;Belgique;bière de Belgique
whisky;Écosse;whisky d'Écosse
vodka;Russie;vodka de Russie
thé;Chine;thé de Chine
sirop;Érable;sirop d'érable
sucre;Cannes;sucre de cannes
sel;Guérande;sel de Guérande
piment;Espelette;piment d'Espelette
vanille;Madagascar;vanille de Madagascar
cacao;Côte d'Ivoire;cacao de Côte d'Ivoire
or;Pérou;or du Pérou
argent;Argentine;argent d'Argentine
cuivre;Chili;cuivre du Chili
pétrole;Texas;pétrole du Texas
gaz;Sibérie;gaz de Sibérie
charbon;Ruhr;charbon de la Ruhr
acier;Lorraine;acier de Lorraine
bois;Ébène;bois d'ébène
cèdre;Liban;cèdre du Liban
pin;Landes;pin des Landes
chêne;Liège;chêne de Liège
olivier;Provence;olivier de Provence
lavande;Provence;lavande de Provence
herbes;Provence;herbes de Provence
fleur;lys;fleur de lys
blé;Beauce;blé de la Beauce
riz;Camargue;riz de Camargue
huître;Marennes;huître de Marennes
moule;Bouchot;moule de Bouchot
saumon;Norvège;saumon de Norvège
morue;Terre-Neuve;morue de Terre-Neuve
canard;Sud-Ouest;canard du Sud-Ouest
poule;Bresse;poule de Bresse
boeuf;Kobe;boeuf de Kobe
cheval;Camargue;cheval de Camargue
chien;Terre-Neuve;chien de Terre-Neuve
chat;Siam;chat du Siam
tigre;Sibérie;tigre de Sibérie
aigle;Rome;aigle de Rome
chouette;Minerve;chouette de Minerve
valse;Vienne;valse de Vienne
théâtre;Boulevard;théâtre de boulevard
cinéma;Hollywood;cinéma d'Hollywood
western;Spaghetti;western spaghetti
cuisine;Terroir;cuisine du terroir
folklore;Bretagne;folklore de Bretagne
légende;Arthur;légende d'Arthur
mythologie;Grèce;mythologie de Grèce
dieux;Olympe;dieux de l'Olympe
oracle;Delphes;oracle de Delphes
momie;Égypte;momie d'Égypte
vase;Soissons;vase de Soissons
tapisserie;Bayeux;tapisserie de Bayeux
tour;Londres;tour de Londres
mur;Berlin;mur de Berlin
or;Rhin;or du Rhin
trésor;Templiers;trésor des Templiers
secret;Polichinelle;secret de Polichinelle
noix;Coco;noix de coco
gomme;Arabique;gomme arabique
encre;Chine;encre de Chine
vin;Bordeaux;vin de Bordeaux
vin;Bourgogne;vin de Bourgogne
vin;Alsace;vin d'Alsace
vin;Loire;vin de la Loire
vin;Rhône;vin du Rhône
vin;Savoie;vin de Savoie
vin;Jura;vin du Jura
vin;Provence;vin de Provence
vin;Languedoc;vin du Languedoc
vin;Corse;vin de Corse
vin;Californie;vin de Californie
vin;Chili;vin du Chili
vin;Australie;vin d'Australie
vin;Tokay;vin de Tokay
champagne;Reims;champagne de Reims
champagne;Épernay;champagne d'Épernay
crémant;Alsace;crémant d'Alsace
crémant;Bourgogne;crémant de Bourgogne
cidre;Normandie;cidre de Normandie
cidre;Bretagne;cidre de Bretagne
poiré;Domfront;poiré de Domfront
bière;Belgique;bière de Belgique
bière;Allemagne;bière d'Allemagne
bière;Irlande;bière d'Irlande
bière;Abbaye;bière d'Abbaye
bière;Trappiste;bière Trappiste
whisky;Écosse;whisky d'Écosse
whisky;Irlande;whisky d'Irlande
whisky;Japon;whisky du Japon
bourbon;Kentucky;bourbon du Kentucky
vodka;Pologne;vodka de Pologne
vodka;Russie;vodka de Russie
tequila;Mexique;tequila du Mexique
rhum;Martinique;rhum de Martinique
rhum;Guadeloupe;rhum de Guadeloupe
rhum;Cuba;rhum de Cuba
rhum;Réunion;rhum de la Réunion
cognac;Charente;cognac de Charente
armagnac;Gascogne;armagnac de Gascogne
calvados;Normandie;calvados de Normandie
gin;Londres;gin de Londres
porto;Portugal;porto du Portugal
madère;Portugal;madère du Portugal
xérès;Espagne;xérès d'Espagne
marsala;Sicile;marsala de Sicile
sake;Japon;saké du Japon
thé;Chine;thé de Chine
thé;Inde;thé d'Inde
thé;Ceylan;thé de Ceylan
thé;Darjeeling;thé de Darjeeling
thé;Assam;thé d'Assam
thé;Japon;thé du Japon
matcha;Kyoto;matcha de Kyoto
yerba;Maté;yerba maté
rooibos;Afrique du Sud;rooibos d'Afrique du Sud
café;Colombie;café de Colombie
café;Brésil;café du Brésil
café;Éthiopie;café d'Éthiopie
café;Guatemala;café du Guatemala
café;Costa Rica;café du Costa Rica
café;Jamaïque;café de la Jamaïque
cacao;Côte d'Ivoire;cacao de Côte d'Ivoire
cacao;Ghana;cacao du Ghana
cacao;Équateur;cacao d'Équateur
chocolat;Suisse;chocolat de Suisse
chocolat;Belgique;chocolat de Belgique
vanille;Madagascar;vanille de Madagascar
vanille;Tahiti;vanille de Tahiti
vanille;Bourbon;vanille Bourbon
poivre;Sichuan;poivre du Sichuan
poivre;Kampot;poivre de Kampot
poivre;Penja;poivre de Penja
poivre;Cayenne;poivre de Cayenne
sel;Guérande;sel de Guérande
sel;Himalaya;sel de l'Himalaya
sel;Camargue;sel de Camargue
fleur;sel;fleur de sel
moutarde;Dijon;moutarde de Dijon
moutarde;Meaux;moutarde de Meaux
vinaigre;Modène;vinaigre de Modène
vinaigre;Xérès;vinaigre de Xérès
huile;Provence;huile de Provence
huile;Grèce;huile de Grèce
huile;Toscane;huile de Toscane
huile;Noix;huile de noix
huile;Colza;huile de colza
huile;Sésame;huile de sésame
safran;Iran;safran d'Iran
safran;Gâtinais;safran du Gâtinais
piment;Espelette;piment d'Espelette
paprika;Hongrie;paprika de Hongrie
curry;Madras;curry de Madras
cannelle;Ceylan;cannelle de Ceylan
fromage;Hollande;fromage de Hollande
fromage;Suisse;fromage de Suisse
camembert;Normandie;camembert de Normandie
brie;Meaux;brie de Meaux
brie;Melun;brie de Melun
roquefort;Aveyron;roquefort de l'Aveyron
comté;Jura;comté du Jura
gruyère;Fribourg;gruyère de Fribourg
emmental;Savoie;emmental de Savoie
beaufort;Savoie;beaufort de Savoie
reblochon;Savoie;reblochon de Savoie
abondance;Savoie;abondance de Savoie
tomme;Savoie;tomme de Savoie
cantal;Auvergne;cantal d'Auvergne
salers;Auvergne;salers d'Auvergne
saint-nectaire;Auvergne;saint-nectaire d'Auvergne
bleu;Auvergne;bleu d'Auvergne
fourme;Ambert;fourme d'Ambert
munster;Alsace;munster d'Alsace
maroilles;Thiérache;maroilles de la Thiérache
ossau-iraty;Pyrénées;ossau-iraty des Pyrénées
picodon;Drôme;picodon de la Drôme
pelardon;Cévennes;pélardon des Cévennes
cabécou;Rocamadour;cabécou de Rocamadour
chabichou;Poitou;chabichou du Poitou
sainte-maure;Touraine;sainte-maure de Touraine
crottin;Chavignol;crottin de Chavignol
époisses;Bourgogne;époisses de Bourgogne
langres;Champagne;langres de Champagne
livarot;Normandie;livarot de Normandie
pont-l'évêque;Normandie;pont-l'évêque de Normandie
neufchâtel;Normandie;neufchâtel de Normandie
morbier;Jura;morbier du Jura
mont;d'Or;mont d'Or
raclette;Valais;raclette du Valais
tête;Moine;tête de Moine
vacherin;Mont-d'Or;vacherin du Mont-d'Or
appenzeller;Suisse;appenzeller de Suisse
stilton;Angleterre;stilton d'Angleterre
cheddar;Somerset;cheddar du Somerset
parmesan;Italie;parmesan d'Italie
gorgonzola;Italie;gorgonzola d'Italie
mozzarella;Campanie;mozzarella de Campanie
ricotta;Italie;ricotta d'Italie
pecorino;Romano;pecorino Romano
feta;Grèce;feta de Grèce
halloumi;Chypre;halloumi de Chypre
manchego;Espagne;manchego d'Espagne
gouda;Hollande;gouda de Hollande
edam;Hollande;edam de Hollande
mimolette;Lille;mimolette de Lille
crème;Isigny;crème d'Isigny
beurre;Charentes;beurre des Charentes
beurre;Echiré;beurre d'Echiré
jambon;Bayonne;jambon de Bayonne
jambon;Parme;jambon de Parme
jambon;Serrano;jambon Serrano
jambon;Iberico;jambon Iberico
jambon;Aoste;jambon d'Aoste
jambon;Westphalie;jambon de Westphalie
jambon;York;jambon d'York
jambon;Paris;jambon de Paris
saucisse;Francfort;saucisse de Francfort
